species,current_name,current_genus,tax_id,family,trained_species_in_family,trained_family_examples,group,clinical_syndrome,species_in_training,genus_in_training,unseen_level,atcc_products,atcc_orderable_with_genome,atcc_type_strain_available,biosafety_levels,atcc_numbers_with_genome,note,panel_ready
Bilophila wadsworthia,Bilophila wadsworthia,Bilophila,35833,Desulfovibrionaceae,0,,anaerobe,"appendicitis, intra-abdominal abscess",False,False,genus,3,2,True,BSL 2,49260; 51580,,False
Eggerthella lenta,Eggerthella lenta,Eggerthella,84112,Eggerthellaceae,0,,anaerobe,"anaerobic bacteraemia, intra-abdominal infection",False,False,genus,2,2,True,BSL 1,25559; 43055,notable intrinsic resistance,False
Granulicatella adiacens,Granulicatella adiacens,Granulicatella,46124,Carnobacteriaceae,3,Carnobacterium divergens; Carnobacterium gallinarum; Carnobacterium maltaromaticum,gram_positive,nutritionally variant streptococcal endocarditis,False,False,genus,2,2,True,BSL 2,43205; 49175,,False
Kluyvera ascorbata,Kluyvera ascorbata,Kluyvera,51288,Enterobacteriaceae,24,Citrobacter freundii; Citrobacter koseri; Citrobacter werkmanii; Cronobacter muytjensii,gram_negative_enterobacterales,opportunistic UTI/bacteraemia; CTX-M ancestral reservoir,False,False,genus,3,2,True,BSL 2,14236; 33434,,False
Mobiluncus curtisii,Mobiluncus curtisii,Mobiluncus,2051,Actinomycetaceae,4,Actinomyces israelii; Actinomyces naeslundii; Actinomyces viscosus; Actinotignum schaalii,anaerobe,bacterial vaginosis,False,False,genus,4,2,True,BSL 1; BSL 2,35241; 51333,,False
Mucor circinelloides,Mucor circinelloides,Mucor,36080,Mucoraceae,0,,mould,mucormycosis,False,False,genus,35,2,True,BSL 1; BSL 2,24905; 26759,,False
Parabacteroides distasonis,Parabacteroides distasonis,Parabacteroides,823,Tannerellaceae,0,,anaerobe,"gut commensal, occasional intra-abdominal isolate",False,False,genus,3,2,True,BSL 2,8503; BAA-1295,already surfaced by the in-house workbook screen,False
Roseomonas mucosa,Roseomonas mucosa,Roseomonas,207340,Roseomonadaceae,0,,gram_negative_nonfermenter,catheter-related bloodstream infection,False,False,genus,2,2,True,BSL 1; BSL 2,BAA-3210; BAA-692,,False
Sphingomonas paucimobilis,Sphingomonas paucimobilis,Sphingomonas,13689,Sphingomonadaceae,0,,gram_negative_nonfermenter,"water-borne nosocomial bacteraemia, peritonitis",False,False,genus,3,2,True,BSL 1; BSL 2,10829; 29837,,False
Trichosporon asahii,Trichosporon asahii,Trichosporon,82508,Trichosporonaceae,0,,yeast,invasive trichosporonosis in neutropenic patients,False,False,genus,3,2,True,BSL 1; BSL 2,201110; 90039,intrinsically echinocandin-resistant,False
Trueperella pyogenes,Trueperella pyogenes,Trueperella,1661,Actinomycetaceae,4,Actinomyces israelii; Actinomyces naeslundii; Actinomyces viscosus; Actinotignum schaalii,gram_positive,zoonotic pyogenic infection,False,False,genus,2,2,True,BSL 2,19411; 33157,,False
Tsukamurella paurometabola,Tsukamurella paurometabola,Tsukamurella,2061,Tsukamurellaceae,0,,gram_positive_actinomycete,"catheter-related bacteraemia, keratitis",False,False,genus,3,2,True,BSL 1; BSL 2,25938; 8368,,False
Alistipes putredinis,Alistipes putredinis,Alistipes,28117,Rikenellaceae,0,,anaerobe,gut commensal / opportunist,False,False,genus,1,1,True,BSL 2,29800,,False
Anaerococcus vaginalis,Anaerococcus vaginalis,Anaerococcus,33037,Peptoniphilaceae,2,Parvimonas micra; Peptoniphilus asaccharolyticus,anaerobe,polymicrobial soft-tissue and genital tract infection,False,False,genus,1,1,True,BSL 1,51170,,False
Brevundimonas vesicularis,Brevundimonas vesicularis,Brevundimonas,41276,Caulobacteraceae,0,,gram_negative_nonfermenter,"bacteraemia, endocarditis",False,False,genus,3,1,True,BSL 1,11426,,False
Capnocytophaga canimorsus,Capnocytophaga canimorsus,Capnocytophaga,28188,Flavobacteriaceae,2,Flavobacterium hydatis; Flavobacterium psychrophilum,gram_negative_fastidious,"fulminant sepsis after dog bite, asplenic patients",False,False,genus,2,1,True,BSL 2,35979,,False
Capnocytophaga ochracea,Capnocytophaga ochracea,Capnocytophaga,1018,Flavobacteriaceae,2,Flavobacterium hydatis; Flavobacterium psychrophilum,gram_negative_fastidious,"periodontal disease, neutropenic bacteraemia",False,False,genus,2,1,True,BSL 2,27872,,False
Cardiobacterium hominis,Cardiobacterium hominis,Cardiobacterium,2718,Cardiobacteriaceae,0,,gram_negative_fastidious,HACEK endocarditis,False,False,genus,7,1,True,BSL 2,15826,,False
Chryseobacterium indologenes,Chryseobacterium indologenes,Chryseobacterium,253,Weeksellaceae,2,Elizabethkingia meningoseptica; Riemerella anatipestifer,gram_negative_nonfermenter,"ventilator-associated pneumonia, line sepsis",False,False,genus,1,1,True,BSL 2,29897,intrinsically resistant to colistin and carbapenems,False
Desulfovibrio piger,Desulfovibrio piger,Desulfovibrio,901,Desulfovibrionaceae,0,,anaerobe,gut commensal / opportunist,False,False,genus,1,1,True,BSL 1,29098,,False
Dietzia maris,Dietzia maris,Dietzia,37915,Dietziaceae,0,,gram_positive_actinomycete,rare bacteraemia and prosthetic infection,False,False,genus,2,1,True,BSL 1,BAA-2388,,False
Exophiala dermatitidis,Exophiala dermatitidis,Exophiala,5970,Herpotrichiellaceae,0,,mould,"phaeohyphomycosis, CF airway colonisation",False,False,genus,29,1,True,BSL 1; BSL 2,34100,,False
Fannyhessea vaginae,Fannyhessea vaginae,Fannyhessea,82135,Atopobiaceae,0,,anaerobe,bacterial vaginosis,False,False,genus,1,1,True,BSL 1,BAA-55,,False
Gemella haemolysans,Gemella haemolysans,Gemella,1379,Gemellaceae,0,,gram_positive,"endocarditis, brain abscess",False,False,genus,1,1,True,BSL 1,10379,,False
Gemella morbillorum,Gemella morbillorum,Gemella,29391,Gemellaceae,0,,gram_positive,"endocarditis, pleuropulmonary infection",False,False,genus,1,1,True,BSL 2,27824,,False
Gordonia bronchialis,Gordonia bronchialis,Gordonia,2054,Gordoniaceae,0,,gram_positive_actinomycete,"sternal wound and catheter infection, pseudo-outbreaks",False,False,genus,2,1,True,BSL 2,25592,,False
Helcococcus kunzii,Helcococcus kunzii,Helcococcus,40091,Peptoniphilaceae,2,Parvimonas micra; Peptoniphilus asaccharolyticus,gram_positive,diabetic foot and soft-tissue infection,False,False,genus,1,1,True,BSL 1,51366,,False
Magnusiomyces capitatus,Magnusiomyces capitatus,Magnusiomyces,1095183,Dipodascaceae,1,Geotrichum candidum,yeast,disseminated infection in haematological malignancy,False,False,genus,18,1,True,BSL 1; BSL 2,28576,,False
Odoribacter splanchnicus,Odoribacter splanchnicus,Odoribacter,28118,Odoribacteraceae,0,,anaerobe,gut commensal / opportunist,False,False,genus,1,1,True,BSL 2,29572,,False
Rhizopus arrhizus,Rhizopus arrhizus,Rhizopus,64495,Rhizopodaceae,0,,mould,mucormycosis,False,False,genus,1,1,True,BSL 1,56536,"CLSI M38 broth assay, harder than yeast MIC",False
Rothia dentocariosa,Rothia dentocariosa,Rothia,2047,Micrococcaceae,5,Arthrobacter globiformis; Kocuria rhizophila; Micrococcus luteus; Micrococcus yunnanensis,gram_positive,"endocarditis, dental infection",False,False,genus,8,1,True,BSL 1; BSL 2,17931,,False
Scedosporium apiospermum,Scedosporium apiospermum,Scedosporium,563466,Microascaceae,0,,mould,pulmonary and disseminated scedosporiosis,False,False,genus,16,1,False,BSL 1; BSL 2,MYA-3635,,False
Sporothrix schenckii,Sporothrix schenckii,Sporothrix,29908,Ophiostomataceae,0,,mould,sporotrichosis,False,False,genus,56,1,True,BSL 2,58251,,False
Streptobacillus moniliformis,Streptobacillus moniliformis,Streptobacillus,34105,Leptotrichiaceae,0,,gram_negative_fastidious,"rat-bite fever, endocarditis",False,False,genus,8,1,True,BSL 2,14647,,False
Sutterella wadsworthensis,Sutterella wadsworthensis,Sutterella,40545,Sutterellaceae,0,,anaerobe,gut commensal / opportunist,False,False,genus,1,1,True,BSL 2,51579,,False
Aliarcobacter butzleri,Aliarcobacter butzleri,Aliarcobacter,28197,Arcobacteraceae,0,,spirochete_or_microaerophile,"enteritis, bacteraemia",False,False,genus,0,0,False,,,,False
Borreliella burgdorferi,Borreliella burgdorferi,Borreliella,139,Borreliaceae,0,,spirochete_or_microaerophile,Lyme disease,False,False,genus,0,0,False,,,"slow growth, special media; poor MIC target",False
Chryseobacterium gleum,Chryseobacterium gleum,Chryseobacterium,250,Weeksellaceae,2,Elizabethkingia meningoseptica; Riemerella anatipestifer,gram_negative_nonfermenter,nosocomial respiratory and urinary infection,False,False,genus,4,0,True,BSL 2,,,False
Lichtheimia corymbifera,Lichtheimia corymbifera,Lichtheimia,42458,Lichtheimiaceae,0,,mould,mucormycosis,False,False,genus,33,0,True,BSL 1; BSL 2,,,False
Lomentospora prolificans,Lomentospora prolificans,Lomentospora,41688,Microascaceae,0,,mould,pan-resistant disseminated infection,False,False,genus,0,0,False,,,,False
Rhizopus microsporus,Rhizopus microsporus,Rhizopus,58291,Rhizopodaceae,0,,mould,mucormycosis,False,False,genus,66,0,True,BSL 1; BSL 2,,,False
Citrobacter braakii,Citrobacter braakii,Citrobacter,57706,Enterobacteriaceae,24,Citrobacter freundii; Citrobacter koseri; Citrobacter werkmanii; Cronobacter muytjensii,gram_negative_enterobacterales,"UTI, bacteraemia",False,True,species_only,12,10,True,BSL 1; BSL 2,10053; 10625; 12012; 29063; 29219; 43162; 51113; BAA-3037; BAA-3277; BAA-3428-NGS-PACK,,True
Staphylococcus capitis,Staphylococcus capitis,Staphylococcus,29388,Staphylococcaceae,15,Mammaliicoccus sciuri; Staphylococcus aureus; Staphylococcus auricularis; Staphylococcus carnosus,gram_positive,"neonatal ICU bacteraemia, prosthetic infection",False,True,species_only,11,8,True,BSL 1,146; 27840; 27841; 27843; 35661; 49324; 49325; 49326,already surfaced by the in-house workbook screen,True
Klebsiella variicola,Klebsiella variicola,Klebsiella,244366,Enterobacteriaceae,24,Citrobacter freundii; Citrobacter koseri; Citrobacter werkmanii; Cronobacter muytjensii,gram_negative_enterobacterales,bacteraemia; frequently misidentified as K. pneumoniae,False,True,species_only,7,5,True,BSL 1; BSL 2,31488; BAA-2552; BAA-3357; BAA-3426-NGS-PACK; BAA-830,,True
Aspergillus terreus,Aspergillus terreus,Aspergillus,33178,Aspergillaceae,9,Aspergillus awamori; Aspergillus brasiliensis; Aspergillus fijiensis; Aspergillus flavus,mould,invasive aspergillosis,False,True,species_only,57,4,True,BSL 1; BSL 2,10690; 20542; 26604; 32587,amphotericin-resistant,True
Corynebacterium amycolatum,Corynebacterium amycolatum,Corynebacterium,43765,Corynebacteriaceae,9,Corynebacterium diphtheriae; Corynebacterium glutamicum; Corynebacterium jeikeium; Corynebacterium pseudodiphtheriticum,gram_positive,"MDR line infection, prosthetic device infection",False,True,species_only,4,4,True,BSL 2,49368; 6931; 700206; 700207,,True
Nocardia brasiliensis,Nocardia brasiliensis,Nocardia,37326,Nocardiaceae,4,Nocardia asteroides; Nocardia farcinica; Prescottella equi; Rhodococcoides fascians,gram_positive_actinomycete,"cutaneous nocardiosis, mycetoma",False,True,species_only,9,3,True,BSL 2,15907; 19019; 19296,,True
Streptococcus constellatus,Streptococcus constellatus,Streptococcus,76860,Streptococcaceae,24,Lactococcus cremoris; Lactococcus garvieae; Lactococcus lactis; Streptococcus agalactiae,gram_positive,"abscess formation, empyema",False,True,species_only,3,3,True,BSL 1; BSL 2,27513; 27823; 9963,,True
Acinetobacter pittii,Acinetobacter pittii,Acinetobacter,48296,Moraxellaceae,6,Acinetobacter baumannii; Acinetobacter baylyi; Acinetobacter calcoaceticus; Acinetobacter junii,gram_negative_nonfermenter,nosocomial pneumonia and bacteraemia,False,True,species_only,2,2,True,BSL 2,11959; 19004,,False
Bacteroides caccae,Bacteroides caccae,Bacteroides,47678,Bacteroidaceae,4,Bacteroides fragilis; Bacteroides thetaiotaomicron; Phocaeicola dorei; Phocaeicola vulgatus,anaerobe,intra-abdominal infection,False,True,species_only,3,2,True,BSL 2,43185; 700189,,False
Corynebacterium urealyticum,Corynebacterium urealyticum,Corynebacterium,43771,Corynebacteriaceae,9,Corynebacterium diphtheriae; Corynebacterium glutamicum; Corynebacterium jeikeium; Corynebacterium pseudodiphtheriticum,gram_positive,"encrusted cystitis, MDR urinary infection",False,True,species_only,5,2,True,BSL 2,43042; 43044,,False
Enterococcus avium,Enterococcus avium,Enterococcus,33945,Enterococcaceae,7,Enterococcus casseliflavus; Enterococcus durans; Enterococcus faecalis; Enterococcus faecium,gram_positive,"bacteraemia, UTI",False,True,species_only,6,2,True,BSL 1,14025; 9274,,False
Ochrobactrum anthropi,Brucella anthropi,Brucella,529,Brucellaceae,2,Brucella abortus; Brucella melitensis,gram_negative_nonfermenter,line-associated bacteraemia,False,True,species_only,11,2,True,BSL 1; BSL 2,49188; BAA-749,reclassified into Brucella; taxonomy check will flag it,False
Prevotella bivia,Prevotella bivia,Prevotella,28125,Prevotellaceae,1,Prevotella intermedia,anaerobe,pelvic inflammatory disease,False,True,species_only,1,1,True,BSL 2,29303,,False
Staphylococcus caprae,Staphylococcus caprae,Staphylococcus,29380,Staphylococcaceae,15,Mammaliicoccus sciuri; Staphylococcus aureus; Staphylococcus auricularis; Staphylococcus carnosus,gram_positive,prosthetic joint and bone infection,False,True,species_only,5,1,True,BSL 1,35538,,False
Acinetobacter nosocomialis,Acinetobacter nosocomialis,Acinetobacter,106654,Moraxellaceae,6,Acinetobacter baumannii; Acinetobacter baylyi; Acinetobacter calcoaceticus; Acinetobacter junii,gram_negative_nonfermenter,nosocomial bacteraemia,False,True,species_only,0,0,False,,,,False
Candida haemulonii,Candidozyma haemuli,Candidozyma,45357,Metschnikowiaceae,2,Candidozyma auris; Clavispora lusitaniae,yeast,"MDR invasive candidiasis, amphotericin-resistant",False,True,species_only,1,0,True,BSL 1,,,False
Enterobacter roggenkampii,Enterobacter roggenkampii,Enterobacter,1812935,Enterobacteriaceae,24,Citrobacter freundii; Citrobacter koseri; Citrobacter werkmanii; Cronobacter muytjensii,gram_negative_enterobacterales,nosocomial MDR infection,False,True,species_only,0,0,False,,,,False
Mycobacterium chimaera,Mycobacterium intracellulare subsp. chimaera,Mycobacterium,222805,Mycobacteriaceae,12,Mycobacterium avium; Mycobacterium kansasii; Mycobacterium marinum; Mycobacterium tuberculosis,gram_positive_actinomycete,prosthetic valve and disseminated infection,False,True,species_only,0,0,False,,,,False
Nocardia cyriacigeorgica,Nocardia cyriacigeorgica,Nocardia,135487,Nocardiaceae,4,Nocardia asteroides; Nocardia farcinica; Prescottella equi; Rhodococcoides fascians,gram_positive_actinomycete,pulmonary and disseminated nocardiosis,False,True,species_only,5,0,False,BSL 2,,,False
